Row Count,Item Code,Item Name,Item Qty,Row Format,BOM,Option1,Option2,Option3
1,1P07BLU-AK,BALL RETURN 7FT BLACK / BLUE 1-PIECE SLATE MDF,1,Parent,Make,,,
2,1P07TOP-BLU,7FT MDF 1-PIECE SLATE TOP,1,,Use,Blue,,
3,1P07BEAM-BLU,7FT MDF 1-PIECE SLATE BLACK FRAME,1,,Use,Blue,,
4,1P07LEG,7FT MDF 1-PIECE SLATE BLACK LEG,1,,Use,,,
5,COMPACC,Compact Billiards Accessories Kit,1,,Use,,,
1,1P07GRE-AK,BALL RETURN 7FT BLACK / GREEN 1-PIECE SLATE MDF,1,Parent,Make,,,
2,1P07TOP-GRE,7FT MDF 1-PIECE SLATE TOP,1,,Use,Green,,
3,1P07BEAM-GRE,7FT MDF 1-PIECE SLATE BLACK FRAME,1,,Use,Green,,
4,1P07LEG,7FT MDF 1-PIECE SLATE BLACK LEG,1,,Use,,,
5,COMPACC,Compact Billiards Accessories Kit,1,,Use,,,
1,1P07RED-AK,BALL RETURN 7FT BLACK / RED 1-PIECE SLATE MDF,1,Parent,Make,,,
2,1P07TOP-RED,7FT MDF 1-PIECE SLATE TOP,1,,Use,Red,,
3,1P07BEAM-RED,7FT MDF 1-PIECE SLATE BLACK FRAME,1,,Use,Red,,
4,1P07LEG,7FT MDF 1-PIECE SLATE BLACK LEG,1,,Use,,,
5,COMPACC,Compact Billiards Accessories Kit,1,,Use,,,
1,2MCHALK-BLU+CHALKH-R,2 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-BLU,MASTER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2MCHALK-GRE+CHALKH-R,2 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-GRE,MASTER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2MCHALK-RED+CHALKH-R,2 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-RED,MASTER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2PCHALK-BLU+CHALKH-R,2 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-BLU,PIONEER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2PCHALK-GRE+CHALKH-R,2 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-GRE,PIONEER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2PCHALK-RED+CHALKH-R,2 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-RED,PIONEER CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2TCHALK-BLU+CHALKH-R,2 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-BLU,TRIANGLE CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2TCHALK-GRE+CHALKH-R,2 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-GRE,TRIANGLE CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,2TCHALK-RED+CHALKH-R,2 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-RED,TRIANGLE CHALK,2,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3MCHALK-BLU+CHALKH-R,3 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-BLU,MASTER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3MCHALK-GRE+CHALKH-R,3 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-GRE,MASTER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3MCHALK-RED+CHALKH-R,3 BOXES MASTER CHALK WITH HOLDER,1,Parent,Make,,,
2,MCHALK-RED,MASTER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3PCHALK-BLU+CHALKH-R,3 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-BLU,PIONEER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3PCHALK-GRE+CHALKH-R,3 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-GRE,PIONEER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3PCHALK-RED+CHALKH-R,3 BOXES PIONEER CHALK WITH HOLDER,1,Parent,Make,,,
2,PCHALK-RED,PIONEER CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3TCHALK-BLU+CHALKH-R,3 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-BLU,TRIANGLE CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3TCHALK-GRE+CHALKH-R,3 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-GRE,TRIANGLE CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,3TCHALK-RED+CHALKH-R,3 BOXES TRIANGLE CHALK WITH HOLDER,1,Parent,Make,,,
2,TCHALK-RED,TRIANGLE CHALK,3,,Use,,,
3,CHALKH-R,CHALK HOLDER,1,,Use,,,
1,7AHPK-AK,7FT AH/PK TOP AK,1,Parent,Make,,,
2,7AHPK,7FT AH/PK TOP,1,,Use,,,
3,AHACC16,AH ACCESSORIES,1,,Use,,,
1,7AHTT-AK,7FT AH/TT TOP AK,1,Parent,Make,,,
2,7AHTT,7FT AH/TT TOP,1,,Use,,,
3,AHACC16,Normal Air Hockey Accessories Pack - 2 Pushers and 2 Pucks,1,,Use,16,,
4,TT-BATS-PRIME-A03,PRIME A03 Bat,1,,Use,,,
5,DSNET,DS Table Tennis Net,1,,Use,,,
1,7TTPK-AK,7FT TT/PK TOP AK,1,Parent,Make,,,
2,7TTPK,7FT TT/PK TOP,1,,Use,,,
3,MDFTTNET07,AIR HOCKEY & PING PONG TOP NET - 7ft,1,,Use,,,
4,TT-BATS-PRIME-A03,PRIME A03 Bat,1,,Use,,,
1,8AHPK-AK,8FT AH/PK TOP AK,1,Parent,Make,,,
2,8AHPK,8FT AH/PK TOP,1,,Use,,,
3,AHACC16,AH ACCESSORIES,1,,Use,,,
1,8AHTT-AK,8FT AH/TT TOP AK,1,Parent,Make,,,
2,8AHTT,8FT AH/TT TOP,1,,Use,,,
3,AHACC16,Normal Air Hockey Accessories Pack - 2 Pushers and 2 Pucks,1,,Use,16,,
4,TT-BATS-PRIME-A03,PRIME A03 Bat,1,,Use,,,
5,DSNET,DS Table Tennis Net,1,,Use,,,
1,8TTPK-AK,8FT TT/PK TOP AK,1,Parent,Make,,,
2,8TTPK,8FT TT/PK TOP,1,,Use,,,
3,TTTOPACC08,TT TOP ACC - 8ft,1,,Use,,,
1,AH10-AK,6FT AH TABLE AK,1,Parent,Make,,,
2,AH10-6-B,Parts 6FT AIR HOCKEY TABLE Foot,1,,Use,,,
3,AH10-6-A,Parts 6FT AIR HOCKEY TABLE Bottom Plate,1,,Use,,,
1,AH12-AK,7FT AH TABLE WITH TT TOP AK,1,Parent,Make,,,
2,AH12,7FT AH TABLE WITH TT TOP,1,,Use,,,
3,AHACC17,AH ACCESSORIES,1,,Use,17,,
1,AHTTACC07,AH/TT ACC - 7ft,1,Parent,Make,,,
2,AHACC16,AH ACCESSORIES,1,,Use,,,
3,TTTOPACC07,TT TOP ACC - 7ft,1,,Use,,,
1,AHTTACC08,AH/TT ACC - 8ft,1,Parent,Make,,,
2,AHACC16,AH ACCESSORIES,1,,Use,,,
3,TTTOPACC08,TT TOP ACC - 8ft,1,,Use,,,
1,CHLHEADSET,"BRASS CROSS, LOW & HIGH SPIDER REST HEAD SET",1,Parent,Make,,,
2,REST-CROSS,CROSS BRASS REST,1,,Use,,,
3,REST-HBRG,HIGH BRIDGE BRASS REST,1,,Use,,,
4,REST-LBRG,LOW BRIDGE BRASS REST,1,,Use,,,
1,COIN08-AK,8FT BLACK / BLUE MDF WITH COIN OPERATER AK,1,Parent,Make,,,
2,COIN08,8FT BLACK / BLUE MDF WITH COIN OPERATER,1,,Use,,,
3,COMPACC,Compact Billiards Accessories Kit,1,,Use,,,
1,CONVERT07BLU-AK,7FT CONVERTIBLE AH POOL TABLE BLUE AK,1,Parent,Make,,,
2,CONVERT07TOP-BLU,7FT CONVERTIBLE AH POOL TABLE TOP,1,,Use,Blue,,
3,CONVERT07LEG,7FT CONVERTIBLE AH POOL TABLE LEG,1,,Use,,,
4,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
5,AHACC16,AH ACCESSORIES,1,,Use,16,,
1,CONVERT07RED-AK,7FT CONVERTIBLE AH POOL TABLE RED AK,1,Parent,Make,,,
2,CONVERT07TOP-RED,7FT CONVERTIBLE AH POOL TABLE TOP,1,,Use,Red,,
3,CONVERT07LEG,7FT CONVERTIBLE AH POOL TABLE LEG,1,,Use,,,
4,COMPACC,COMPACT ACCESSORIES KIT,1,,Use,,,
5,AHACC16,AH ACCESSORIES,1,,Use,16,,
1,COVER-FL-SLV-07+LBRU,SILVER FULL LENGTH COVER 7ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-FL-SLV-07,SILVER FULL LENGTH COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-FL-SLV-08+LBRU,SILVER FULL LENGTH COVER 8ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-FL-SLV-08,SILVER FULL LENGTH COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-FL-SLV-09+LBRU,SILVER FULL LENGTH COVER 9ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-FL-SLV-09,SILVER FULL LENGTH COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-GR-07+LBRU,MULTI COVER 7ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-GR-07,MULTI COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-GR-08+LBRU,MULTI COVER 8ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-GR-08,MULTI COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-GR-09+LBRU,MULTI COVER 9ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-GR-09,MULTI COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-SLV-07+LBRU,SILVER COVER 7ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-SLV-07,SILVER COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-SLV-08+LBRU,SILVER COVER 8ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-SLV-08,SILVER COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-RB-SLV-09+LBRU,SILVER COVER 9ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-RB-SLV-09,SILVER COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-VC-BLK-07+LBRU,BLACK VINYL COVER 7ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-VC-BLK-07,BLACK VINYL COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-VC-BLK-08+LBRU,BLACK VINYL COVER 8ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-VC-BLK-08,BLACK VINYL COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,COVER-VC-BLK-09+LBRU,BLACK VINYL COVER 9ft + 10-1/2 INCH BRUSH,1,Parent,Make,,,
2,COVER-VC-BLK-09,BLACK VINYL COVER,1,,Use,,,
3,LBRU,10-1/2' WOODEN BRUSH,1,,Use,,,
1,CUE-57CROSS,57' CROSS CUE,1,Parent,Make,,,
2,CUE-57RH,57' LOW BRIDGE CUE,1,,Use,,,
3,REST-CROSS,CROSS BRASS REST,1,,Use,,,
1,CUE-57CROSS+57HBRG,57' CROSS CUE & HIGH BRIDGE CUE,1,Parent,Make,,,
2,CUE-57CROSS,57' CROSS CUE,1,,Use,,,
3,CUE-57HBRG,57' HIGH BRIDGE CUE,1,,Use,,,
1,CUE-57HBRG,57' HIGH BRIDGE CUE,1,Parent,Make,,,
2,CUE-57RH,57' LOW BRIDGE CUE,1,,Use,,,
3,REST-HBRG,HIGH BRIDGE BRASS REST,1,,Use,,,
1,CUE-57LBRG,57' LOW BRIDGE CUE,1,Parent,Make,,,
2,CUE-57RH,57' LOW BRIDGE CUE,1,,Use,,,
3,REST-LBRG,LOW BRIDGE BRASS REST,1,,Use,,,
1,CUE-84CROSS,84' CROSS CUE,1,Parent,Make,,,
2,CUE-84RH,84' REST HANDLE CUE,1,,Use,,,
3,REST-CROSS,CROSS BRASS REST,1,,Use,,,
1,CUE-84CROSS+84HBRG,84' CROSS CUE & HIGH BRIDGE CUE,1,Parent,Make,,,
2,CUE-84CROSS,84' CROSS CUE,1,,Use,,,
3,CUE-84HBRG,84' HIGH BRIDGE CUE,1,,Use,,,
1,CUE-84HBRG,84' HIGH BRIDGE CUE,1,Parent,Make,,,
2,CUE-84RH,84' REST HANDLE CUE,1,,Use,,,
3,REST-HBRG,HIGH BRIDGE BRASS REST,1,,Use,,,
1,CUE-84LBRG,84' LOW BRIDGE CUE,1,Parent,Make,,,
2,CUE-84RH,84' REST HANDLE CUE,1,,Use,,,
3,REST-LBRG,LOW BRIDGE BRASS REST,1,,Use,,,
