SKU,Start Date,Sales Quantity
SP12-XP-XW105-MAH,2021-11-08,5
SP12-XP-XW106-SLV,2021-11-08,1
SP12-XP-XW101-WAL,2021-11-08,0
CUE-1-2-SL-JF20-15F-BLK,2021-11-08,3
CUE-1-2-SL-JF20-15WF-WHT,2021-11-08,0
CUE-1-2-SL-PS2-01-BLK,2021-11-08,1
CUE-1-2-SL-PS2-02-WHT,2021-11-08,0
CUE-1-2-SL-PS2-04,2021-11-08,1
CUE-1-2-SL-F7-RED,2021-11-08,0
CUE-1-2-SL-F7-BLK,2021-11-08,0
CUE-1-2-SL-F7-WHT,2021-11-08,1
CUE-1-2-SL-CA2009-LZ-3,2021-11-08,0
CUE-1-2-SL-CA2009-MS-3,2021-11-08,0
CUE-1-2-SL-JF40-09F-BLK-WHT,2021-11-08,0
CUE-1-2-SL-CUPPA,2021-11-08,1
CUE-1-2-SL-LA-8-BLK,2021-11-25,0
CUE-1-2-SL-LA-5-WHT,2021-11-25,0
BK-SNOW-AKEZ-ML-GRY,2022-05-24,1
BK-MONT-AKEZ-ZZ-GRY,2022-05-24,0
DHS-KBPROHP01-SHORT,2022-06-10,4
DHS-KBPROHP02-LONG,2022-06-10,5
DHS-KB-NO1SHORT,2022-06-10,10
DHS-KB-NO5SHORT,2022-06-10,3
DHS-KB-NO2LONG,2022-06-10,7
DHS-KB-NO6LONG,2022-06-10,6
DHS-KBML-LONG-SET,2022-06-14,5
DHS-KBWH-SHORT,2022-06-15,0
DHS-KBWH-LONG,2022-06-15,0
DHS-KBWLQ-SHORT,2022-06-15,2
DHS-KBWLQ-LONG,2022-06-15,2
DHS-XZHY-DO2-S-SHORT,2022-06-15,8
DHS-XZHY-DO2-L-LONG,2022-06-15,11
FURNI-MJT-SH-X7-WM-LN-FLD-JBLU,2022-06-27,2
FURNI-MJT-SH-X6-MUTE-DT-DBLU,2022-06-28,0
MDF07-DQ-P046T-MISTGRY-AK,2022-07-01,12
FURNI-MJT-SH-X7-LN-4CHAIR-CHAM,2022-07-01,0
SP09-QS-Q8-GLD,2022-07-05,0
